-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
窬        yu        pwwj      WOQK      7AAC      F1BE      14        穴        44534341251122
窭        ju        pwov      WOUZ      7AAD      F1C0      14        穴        44534431234531
窮        qiong     pqtx      WONY      7AAE      B846      15        穴        445343251113515
窯        yao       pquo      WOUU      7AAF      B847      15        穴        445344311214444
窰        yao       pweb      WOEZ      7AB0      B848      15        穴        445343443311252
窱        tiao      pqws      WORF      7AB1      B849      15        穴        445343223541234
窲        chao      pqof      WOTE      7AB2      B84A      15        穴        445344312344412
窳        yu        pwry      WOPP      7AB3      F1C1      15        穴        445343354433544
窴        tian      pqfw      WOLO      7AB4      B84B      15        穴        445341225111134
窵        diao      pqto      WORZ      7AB5      B84C      16        穴        4453432511154444
窶        lou       pqlv      WOKZ      7AB6      B84D      16        穴        4453425112512531
窷        liao      pqbb      WOMY      7AB7      B84E      16        穴        4453412211135352
窸        xi        pqtn      WOPW      7AB8      B84F      16        穴        4453434312344544
窹        wu        pwnk      WOXJ      7AB9      B850      16        穴        4453452131251251
窺        kui       pqfq      WOOL      7ABA      B851      16        穴        4453411342511135
窻        chuang    pwtn      WORW      7ABB      B852      16        穴        4453432535414544
窼        zhao      pwjs      WOKF      7ABC      B853      16        穴        4453455525111234
窽        kuan      pwxw      WOMR      7ABD      B854      16        穴        4453435311343534
窾        kuan      pqfw      WOBR      7ABE      B855      17        穴        44534121112343534
窿        long      pwbg      WOAM      7ABF      C1FE      16        穴        4453452354131121
竀        cheng     pqgq      WOIL      7AC0      B856      17        穴        44534121212511135
竁        cui       pqtn      WOMM      7AC1      B857      17        穴        44534311531153115
竂        liao      pwdi      WOKK      7AC2      B858      17        穴        44534134432511234
竃        zao       pwfn      WOKZ      7AC3      B859      17        穴        44534121251125115
竄        cuan      pqvn      WONZ      7AC4      B85A      18        穴        445343215115445445
竅        qiao      pqrt      WOSM      7AC5      B85B      18        穴        445343251141533134
竆        qiong     pwtk      WOJJ      7AC6      B85C      18        穴        445343251113251251
竇        du        pqfm      WOLL      7AC7      B85D      20        穴        44534121252212511134
竈        zao       pwfn      WOBW      7AC8      B85E      20        穴        44534121251251115151
竉        long      pwun      WOSI      7AC9      B85F      22        穴        4453441431251121515111
竊        qie       pqtc      WOLZ      7ACA      B860      22        穴        4453434312342125342554
立        li        uuuu      SU        7ACB      C1A2      5         立        41431
竌        chu       umn       SUQD      7ACC      B861      7         立        4143135
竍        shi       ufh       SUED      7ACD      B862      7         立        4143112
竎        fu        uaj       SUE       7ACE      B863      8         立        41431132
竏        qian      utfh      SUME      7ACF      B864      8         立        41431312
竐        chu       umcy      SUQX      7AD0      B865      9         立        414313554
竑        hong      udcy      SUGZ      7AD1      B866      10        立        414311354
竒        qi        dskf      SUAJ      7AD2      B867      10        立        414312512
竓        hao       utfn      SUMH      7AD3      B868      9         立        414313115
竔        sheng     utah      SUME      7AD4      B869      9         立        414313132
竕        fen       uwvn      SUOY      7AD5      B86A      9         立        414313453
竖        shu       jcuf      KDXS      7AD6      CAFA      9         立        225441431
竗        miao      uitt      SUKM      7AD7      B86B      9         立        414312343
竘        qu        uqkg      SURJ      7AD8      B86C      10        立        4143135251
站        zhan      uhkg      SUIJ      7AD9      D5BE      10        立        4143121251
竚        zhu       upsh      SUWA      7ADA      B86D      10        立        4143144512
竛        ling      uwyc      SUOW      7ADB      B86E      10        立        4143134454
竜        neng      ujnb      SUKZ      7ADC      B86F      10        立        4143125115
竝        bing      uug       SUSU      7ADD      B870      10        立        4143141431
竞        jing      ukqb      SUJR      7ADE      BEBA      10        立        4143125135
竟        jing      ujqb      SUKR      7ADF      BEB9      11        立        41431251135
章        zhang     ujj       SUKE      7AE0      D5C2      11        立        41431251112
竡        bai       udjg      SUAN      7AE1      B871      11        立        41431132511
竢        si        uctd      SUZM      7AE2      B872      12        立        414315431134
竣        jun       ucwt      SUOR      7AE3      BFA2      12        立        414315434354
竤        hong      updc      SUGZ      7AE4      B873      12        立        414314451354
